연번,호선,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,데이터기준일자
32,2호선,봉천,51.9,21.6,431,7.5,0.8,2022-12-31
33,2호선,신림,67.6,40.9,529,10.1,0.7,2022-12-31
34,2호선,신도림(2),50.5,17.9,481,7.5,0.6,2022-12-31
35,2호선,문래,56.3,31.6,459,9.3,0.7,2022-12-31
36,2호선,영등포구청(2),46.4,28.1,435,8.4,0.7,2022-12-31
37,2호선,합정(2),35.4,19.6,528,9.8,0.8,2022-12-31
38,2호선,홍대입구(2),43.3,20.3,509,7.1,0.8,2022-12-31
39,2호선,신촌,33,24.1,441,8.1,0.9,2022-12-31
40,2호선,이대,61.6,27.3,444,6.6,0.8,2022-12-31
41,2호선,아현,45.3,26.7,457,8.7,0.6,2022-12-31
42,2호선,충정로(2),60.6,39.1,439,8.8,0.7,2022-12-31
43,2호선,용두,35.9,27.3,438,7.3,0.7,2022-12-31
44,2호선,신설동(2),24.4,17.6,455,6.6,0.8,2022-12-31
45,2호선,도림천,67.2,24.7,450,5.5,0.8,2022-12-31
46,2호선,양천구청,46.9,23.4,438,9.1,0.8,2022-12-31
47,2호선,신정네거리,46.4,27.7,450,12.1,0.8,2022-12-31
48,3호선,구파발,32.7,22.7,470,6.6,0.7,2022-12-31
49,3호선,연신내(3),44.1,21.3,459,8.4,0.8,2022-12-31
50,3호선,불광(3),51.2,24.2,532,4.8,0.6,2022-12-31
51,3호선,녹번,36.1,21.5,454,4.6,0.6,2022-12-31
52,3호선,홍제,28.8,19.3,473,11.1,0.7,2022-12-31
53,3호선,무악재,53.6,26.2,468,5.1,1.1,2022-12-31
54,3호선,독립문,43.1,26.6,483,5.9,0.7,2022-12-31
55,3호선,경복궁,43.2,18.4,466,9,0.5,2022-12-31
56,3호선,안국,58.4,28.2,481,8.8,0.6,2022-12-31
57,3호선,종로3가(3),36.9,21,487,8.6,0.6,2022-12-31
58,3호선,을지로3가(3),96.9,33.9,478,7.6,0.6,2022-12-31
59,3호선,충무로(3),62.9,38.5,479,6.8,0.6,2022-12-31
60,3호선,동대입구,68.9,28.9,474,7.9,1,2022-12-31
61,3호선,약수(3),41.6,24.2,465,11.7,0.9,2022-12-31
62,3호선,금호,48,21.4,477,10.6,0.9,2022-12-31
63,3호선,압구정,43,26.7,541,13.7,0.9,2022-12-31
64,3호선,신사,51.5,31.2,505,16.6,1,2022-12-31
65,3호선,잠원,24.2,15.7,460,4.9,0.7,2022-12-31
66,3호선,고속터미널(3),31.3,19.4,533,7.8,0.6,2022-12-31
67,3호선,교대(3),34.2,22.8,504,8.5,0.8,2022-12-31
68,3호선,남부터미널,32.4,21.7,472,10.4,0.8,2022-12-31
69,3호선,양재,37.3,19.7,460,9.1,0.8,2022-12-31
70,3호선,매봉,30.1,21.5,472,12.3,0.9,2022-12-31
71,3호선,도곡,36.5,21.1,460,8.7,0.5,2022-12-31
72,3호선,대치,31.1,23.2,468,9.2,0.7,2022-12-31
73,3호선,학여울,20.3,13.1,466,9.1,1.1,2022-12-31
