시군,단지명,전체면적,입주업체,가동업체,생산,인원수
124,512,574,3,3,2000,649
124,672,84,48,37,28050,419
124,283,203,0,0,0,0
125,384,787,141,139,694514,5498
125,691,420,7,7,86551,302
0,254,48,14,11,4640,248
75,71,38,7,6,11477,126
77,277,260,58,43,800,845
124,679,74,0,0,0,0
136,594,141,33,23,20342,515
96,204,47,7,7,0,110
96,203,42,1,0,0,0
70,681,64,0,0,0,0
87,161,46,0,0,0,0
71,231,43,0,0,0,0
71,290,42,0,0,0,0
84,366,79,7,7,0,1250
126,128,93,14,13,13521,252
136,736,386,115,83,0,2818
71,555,40,8,7,21292,219
125,690,1735,0,0,0,0
71,67,64,0,0,0,0
73,506,78,0,0,0,0
125,617,531,0,0,0,0
87,605,46,1,0,0,0
71,221,104,19,16,47503,499
87,491,35,0,0,0,0
136,735,364,126,81,0,1366
26,192,171,59,45,0,898
94,531,79,642,639,10321,2221
73,525,714,0,0,0,0
136,211,73,0,0,0,0
71,55,79,0,0,0,0
26,710,344,161,161,0,1792
126,432,234,0,0,0,0
77,436,391,25,0,0,0
26,708,80,41,37,0,535
71,210,57,0,0,0,0
126,613,69,1,0,0,0
71,230,78,0,0,0,0
71,303,35,0,0,0,0
87,493,519,128,72,0,2662
125,689,906,0,0,0,0
67,106,468,0,0,0,0
124,678,301,0,0,0,0
125,344,193,0,0,0,0
125,688,782,35,4,215080,269
71,418,400,0,0,0,0
87,586,46,0,0,0,0
71,420,207,0,0,0,0
26,711,118,0,0,0,0
124,680,392,0,0,0,0
84,461,104,0,0,0,0
96,153,46,3,0,0,0
87,492,2447,0,0,0,0
71,419,450,0,0,0,0
87,276,35,0,0,0,0
96,536,36,0,0,0,0
88,583,146,0,0,0,0
26,706,55,0,0,0,0
2,64,856,159,148,137624,1424
2,66,69,36,22,17800,339
90,510,78,6,5,9186,104
119,564,102,12,12,21665,304
138,500,510,17,17,92225,970
58,319,1714,1,0,0,0
58,375,448,0,0,0,0
41,304,310,0,0,0,0
90,223,277,26,24,185860,1178
90,294,369,0,0,0,0
116,697,208,0,0,0,0
122,214,114,4,4,0,22
90,257,329,25,20,90001,991
90,258,282,28,24,92202,705
90,13,198,23,20,73700,553
90,14,84,5,4,18502,152
90,499,285,21,16,154151,1494
90,692,67,0,0,0,0
119,743,263,281,276,47149,1458
119,216,314,24,15,72751,519
2,473,201,0,0,0,0
103,588,729,45,42,145200,2340
103,590,788,53,47,30200,1921
117,643,2906,700,682,3480559,25825
117,646,1431,19,15,444511,3245
120,602,204,23,23,98027,585
120,659,847,42,38,191209,2019
120,660,103,7,6,20762,114
120,661,156,3,3,15221,292
120,663,916,60,52,77647,2239
18,112,294,11,3,4300,484
79,594,84,0,0,0,0
79,441,594,22,19,85835,590
85,640,255,10,10,3412,64
91,124,414,8,7,398670,1091
91,193,325,10,10,28072,964
91,240,274,48,41,56844,1227
91,508,794,79,59,158970,2042
91,520,40,1,0,0,0
91,527,81,21,13,1400,139
91,529,313,18,14,169248,1211
91,599,115,2,0,0,0
105,603,507,14,10,144936,1996
105,604,515,33,30,238117,1248
108,534,180,5,5,71212,523
108,649,407,12,4,1111,105
91,226,179,9,7,5150,144
108,263,142,4,4,5929,141
18,111,185,14,14,2450,261
33,162,189,10,10,13455,161
91,326,345,0,0,0,0
105,201,40,1,0,0,0
91,331,313,37,30,3288,414
18,110,554,39,36,43000,532
91,462,349,20,13,9463,257
117,468,3580,173,173,5088039,24419
117,33,3085,161,161,4910297,21713
117,32,495,12,12,177742,2706
117,469,523,8,8,1180850,3209
117,726,415,4,4,141649,646
117,474,768,57,53,313121,2323
117,645,240,0,0,0,0
91,519,284,39,22,3225,450
117,62,54,1,0,0,0
108,314,868,71,65,239864,3666
108,20,760,68,63,231867,3630
118,465,1169,103,39,45982,1029
120,662,203,8,5,342245,578
48,286,799,53,42,62600,678
103,591,699,4,4,500,248
120,658,60,0,0,0,0
85,475,243,3,3,50000,127
91,353,781,50,7,45507,1174
108,670,655,5,3,102211,1673
18,665,30,3,3,0,18
91,360,69,0,0,0,0
91,125,721,61,24,18258,1709
120,733,44,0,0,0,0
117,644,504,0,0,0,0
117,471,878,0,0,0,0
120,664,93,0,0,0,0
108,396,1025,98,89,636892,2359
117,470,365,33,32,206266,680
120,656,1236,41,40,119426,2225
120,217,851,0,0,0,0
91,241,905,0,0,0,0
91,361,186,0,0,0,0
120,316,88,0,0,0,0
117,154,356,0,0,0,0
117,339,471,0,0,0,0
117,466,370,0,0,0,0
117,647,670,0,0,0,0
117,302,613,0,0,0,0
103,589,91,0,0,0,0
120,655,1064,0,0,0,0
117,648,59,0,0,0,0
108,622,535,0,0,0,0
120,657,155,0,0,0,0
91,528,444,0,0,0,0
117,464,200,0,0,0,0
108,261,172,0,0,0,0
108,621,763,0,0,0,0
15,671,652,22,19,80000,511
15,517,61,13,8,1440,46
32,159,165,24,24,61056,621
32,160,388,11,11,47030,495
32,212,476,22,15,48008,462
47,103,1256,15,15,184650,2439
47,442,834,0,0,0,0
61,178,863,4,4,7050001,1495
61,189,1541,12,12,215000,861
61,338,683,67,50,25000,1135
68,541,2554,48,42,1812705,6013
68,42,981,40,35,408668,1850
68,41,159,7,6,97724,392
68,411,1374,85,82,223423,5363
68,502,64,8,8,11149,347
115,628,1385,52,50,3564067,15146
115,47,912,14,14,3112588,10280
115,45,473,38,36,451479,4866
115,633,567,79,76,801227,4018
115,634,629,119,119,120100,3486
115,632,131,187,187,115826,1329
115,638,425,14,13,70224,1125
115,695,823,82,80,219259,3413
37,716,577,54,40,29323,1169
134,728,772,6,6,35431,532
83,454,1030,58,46,217452,2281
83,455,701,27,14,20936,180
61,180,478,3,3,60500,296
37,717,469,5,5,61817,730
37,166,1659,4,4,1296600,1317
61,723,609,2,0,0,0
83,452,665,67,43,48451,923
83,30,665,67,43,48451,923
83,31,0,0,0,0,0
10,94,156,28,21,109150,489
15,367,450,0,0,0,0
68,406,687,1,0,0,0
68,405,1562,6,6,5701520,16555
115,635,1205,62,56,213517,2396
115,48,869,47,43,175588,2007
115,46,336,15,13,37929,389
61,335,588,0,0,0,0
68,409,775,99,89,110221,3617
61,179,453,12,12,10300,89
15,148,508,20,0,0,0
115,231,99,51,51,37200,654
115,629,139,0,0,0,0
115,630,229,0,0,0,0
68,410,198,0,0,0,0
68,49,15,3,0,0,0
37,380,2561,45,38,698162,1168
37,22,2145,38,34,648300,1011
37,23,416,7,4,49862,157
68,408,183,0,0,0,0
61,336,2698,46,41,640000,5990
61,337,606,12,9,26000,412
61,404,168,1,0,0,0
68,407,237,7,7,85746,1525
15,403,138,0,0,0,0
68,439,261,0,0,0,0
68,542,822,0,0,0,0
115,631,537,0,0,0,0
15,222,205,0,0,0,0
115,351,207,0,0,0,0
83,456,676,0,0,0,0
115,637,616,0,0,0,0
68,526,227,0,0,0,0
115,696,233,0,0,0,0
115,636,609,0,0,0,0
61,724,573,0,0,0,0
83,453,506,0,0,0,0
51,301,305,0,0,0,0
15,381,223,0,0,0,0
20,119,3630,68,68,1180427,4787
24,134,186,39,38,178000,877
97,538,2563,201,201,249500,8120
100,571,531,27,26,170442,1087
100,572,157,69,65,61021,1128
100,569,48,11,10,902,77
101,577,158,7,7,123540,270
101,578,668,69,68,184452,1203
101,579,757,55,52,319330,1700
101,580,425,41,35,32395,652
14,100,611,3,3,5082,37
86,478,2615,80,80,1036130,10174
86,568,1816,225,225,662110,4918
86,479,971,118,112,314889,2375
97,540,306,28,27,1205,1662
97,539,1587,106,99,3640,2742
97,39,1417,102,96,3605,2624
97,40,170,4,3,35,118
86,480,1271,11,11,0,177
100,573,183,3,3,155202,211
24,610,1943,108,85,416148,2624
24,44,1179,74,57,284335,2100
24,7,764,34,28,131813,524
100,570,1218,105,100,366300,2631
24,275,258,0,0,0,0
17,392,223,42,35,12169,385
17,107,135,47,43,14392,522
28,145,402,42,37,30404,745
28,267,246,7,7,58715,565
42,365,80,14,8,910,230
42,321,170,47,47,34856,490
42,185,848,189,163,20327,2454
66,389,448,40,38,285516,1010
66,718,1039,45,45,26575,588
74,523,6149,148,123,676847,5882
74,38,5898,129,111,664413,5620
66,37,251,19,12,12434,262
74,435,130,39,37,34145,464
74,524,2337,0,0,0,0
98,550,480,178,161,89863,1758
106,115,532,1,0,0,0
17,373,1497,5,5,18688,175
78,176,1094,48,38,42845,598
99,560,1205,77,45,51804,500
132,739,1422,0,0,0,0
137,737,387,19,19,134531,595
80,486,281,0,0,0,0
131,219,488,79,46,25000,323
36,434,337,109,104,45773,744
74,255,241,0,0,0,0
28,146,226,7,7,17590,105
43,501,41,0,0,0,0
4,70,410,32,5,0,89
28,147,1213,123,75,68458,777
43,256,273,0,0,0,0
137,738,195,0,0,0,0
8,88,1150,194,166,698653,8113
8,90,333,105,97,95200,1746
9,63,642,77,60,1270,628
9,81,114,6,6,48710,494
9,82,761,21,21,81880,1125
9,243,64,0,0,0,0
9,265,218,26,26,26800,363
9,345,116,35,35,116400,429
9,346,99,14,14,25790,250
9,483,116,22,22,163000,795
9,484,411,39,39,47850,1242
9,625,1286,117,116,95850,2153
9,732,120,14,14,56900,611
44,394,288,19,14,50368,307
59,328,960,7,4,10956,138
59,329,382,3,3,25,6
69,86,514,40,32,75250,1152
127,402,74,0,0,0,0
127,444,582,8,8,71000,1146
127,693,1535,103,80,370391,1100
12,75,87,35,35,8000,345
12,354,64,1,0,0,0
63,363,581,53,52,190300,1365
63,516,52,14,11,2987,46
81,225,40,5,4,220,33
